,,,,,Input,,,,,,,,,,,,,,,Synthesis,,Objective 1,Objective 2,,,Objective 3
Synthesis number,Formula,MW for secondary element,MW for the third element,MW for the forth element,Precursor 1,amount of precursor 1 (mmol),Precursor 2,amount of precursor 2 (mmol),Precursor 3,amount of precursor 3 (mmol),Precursor 4,amount of precursor 4 (mmol),C2H6O amount (mL),H2O amount (mL),Gelation agent,amount (mL),Anneal temp,Annealing time (h),Wash with Actone and H2O,XRD file number,Synthesis,OP (10mA/cm2),ICP-2h (%),1h voltage ,2h voltage ,ICP-2h (%)
0224-1,Ru0.5Sn0.5,118.71,,,RuCl3,1.35,SnCl2,1.35,,,,,4,0,CH3CHCH2O,2,/,,,,N,,,,,
0224-2,Ru0.5Cr0.5,51.996,,,RuCl3,1.35,Cr(NO3)3,1.35,,,,,4,0,CH3CHCH2O,2,400,12,0,1,C,202,5.959078825,1.2767372,1.276534,
0224-2,Ru0.5Cr0.5,51.996,,,RuCl3,1.35,Cr(NO3)3,1.35,,,,,4,0,CH3CHCH2O,2,500,2,0,2,C,184,3.731239314,1.287976,1.2886124,
0224-2,Ru0.5Cr0.5,51.996,,,RuCl3,1.35,Cr(NO3)3,1.35,,,,,4,0,CH3CHCH2O,2,600,2,0,3,C,191,3.977338305,1.2876443,1.2893419,
0224-3,Cr0.5Sn0.5,51.996,118.71,,Cr(NO3)3,1.35,SnCl2,1.35,,,,,4,0,CH3CHCH2O,2,400,12,0,4,C,N,,,,
0224-3,Cr0.5Sn0.5,51.996,118.71,,Cr(NO3)3,1.35,SnCl2,1.35,,,,,4,0,CH3CHCH2O,2,500,2,0,5,C,N,,,,
0224-3,Cr0.5Sn0.5,51.996,118.71,,Cr(NO3)3,1.35,SnCl2,1.35,,,,,4,0,CH3CHCH2O,2,600,2,0,6,C,N,,,,
0224-4,Ru0.33Cr0.33Sn0.33,51.996,118.71,,RuCl3,0.9,Cr(NO3)3,0.9,SnCl2,0.9,,,4,0,CH3CHCH2O,2,400,12,0,7,C,N,,,,
0224-4,Ru0.33Cr0.33Sn0.33,51.996,118.71,,RuCl3,0.9,Cr(NO3)3,0.9,SnCl2,0.9,,,4,0,CH3CHCH2O,2,500,2,0,8,C,N,,,,
0224-4,Ru0.33Cr0.33Sn0.33,51.996,118.71,,RuCl3,0.9,Cr(NO3)3,0.9,SnCl2,0.9,,,4,0,CH3CHCH2O,2,600,2,0,9,C,N,,,,
0224-5,Ru0.6Cr0.2Sn0.2,51.996,118.71,,RuCl3,1.62,Cr(NO3)3,0.54,SnCl2,0.54,,,4,0,CH3CHCH2O,2,600,2,0,10,C,N,,,,
0224-6,Ru0.6Cr0.2Sn0.1Ti0.1,51.996,118.71,47.867,RuCl3,1.62,Cr(NO3)3,0.54,SnCl2,0.27,[(CH3)2CHO]2Ti(C5H7O2)2,0.27,4,0,CH3CHCH2O,2,400,2,0,11,C,239,0.996124836,1.4316992,1.441224,1.033028621
0315-1,Ru0.5Ti0.5,47.867,,,RuCl3,1.35,[(CH3)2CHO]2Ti(C5H7O2)2,1.35,,,,,4,0,CH3CHCH2O,2,/,,0,,N,,,,,
0315-2,Ru0.5Sr0.5,87.62,,,RuCl3,1.35,SrCl2,1.35,,,,,4,0,CH3CHCH2O,2,600,2,0,14,H,195,2.959447789,1.3624207,1.5087911,2.568012455
0315-3,Ru0.5Ta0.5,171.9449,,,RuCl3,1.35,TaCl5,1.35,,,,,4,0,CH3CHCH2O,2,600,2,0,,N,,,,,
0315-4,Ru0.5Ni0.5,58.6934,,,RuCl3,1.35,NiCl2,1.35,,,,,4,0,CH3CHCH2O,2,600,2,0,13,H,365,,,,
0315-5,Ru0.5Y0.5,88.90584,,,RuCl3,1.35,YCl3,1.35,,,,,4,0,CH3CHCH2O,2,600,2,0,12,H,249,16.36584438,1.434576,1.5899731,17.53096724
0315-6,Ru0.69Ce0.31,140.116,,,RuCl3,1.35,Ce(NO3)3,0.606,,,,,4,0,CH3CHCH2O,2,600,2,0,15,C,215,0.580380142,1.372758,1.4711779,0.359675415
0315-7,Ru0.5Co0.5,58.933,,,RuCl3,1.35,CoCl2,1.35,,,,,4,0,CH3CHCH2O,2,600,2,0,16,H,218,0.151026874,1.3513006,1.368398,0.146428685
0315-8,Ru0.5Hf0.5,178.49,,,RuCl3,1.35,HfCl5,1.35,,,,,4,0,CH3CHCH2O,2,600,2,0,17,C,382,,,,
0324-1,Ru0.87Ce0.13,140.116,,,RuCl3,1.0125,Ce(NO3)3,0.152,,,,,2,0,CH3CHCH2O,1,400,2,0,18,C,218,0.454857217,1.591329,1.591329,0.378979798
0324-2,Ru0.43Ce0.57,140.116,,,RuCl3,0.3375,Ce(NO3)3,0.454,,,,,2,0,CH3CHCH2O,1,400,2,0,,N,,,,,
0327-1,Ru0.5Er0.5,167.259,,,RuCl3,0.3375,ErCl2,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,19,C,473,4.316839359,1.5937998,1.5937998,3.938347669
0327-3,Ru0.5Fe0.5,55.845,,,RuCl3,0.3375,FeCl3,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,21,C,217,0.270723787,1.3285087,1.3389122,0.301149719
0330-1,Ru0.5Rb0.5,85.468,,,RuCl3,0.3375,RbCl,0.3375,,,,,1,0,CH3CHCH2O,0.5,600,2,0,24,C,211,0.147650539,1.4468721,1.4589596,0.089157117
0330-2,Ru0.5Nd0.5,144.242,,,RuCl3,0.3375,NdCl3,0.3375,,,,,1,0,CH3CHCH2O,0.5,600,2,0,25,C,N,,1.4604508,1.4603776,
0330-3,Ru0.5W0.5,183.84,,,RuCl3,0.3375,WCl6,0.3375,,,,,1,0,CH3CHCH2O,0.5,600,2,0,,H,252,,,,
0330-4,Ru0.5Pd0.5,106.42,,,RuCl3,0.3375,PdCl2,0.3375,,,,,1,0,CH3CHCH2O,0.5,600,2,0,26,C,203,2.994936861,1.2669917,1.2661817,1.475261878
0330-5,Ru0.5Pt0.5,195.084,,,RuCl3,0.3375,PtCl2,0.3375,,,,,1,0,CH3CHCH2O,0.5,,,0,,N,,,,,
0330-6,Ru0.5La0.5,138.90547,,,RuCl3,0.3375,LaCl3,0.3375,,,,,1,0,CH3CHCH2O,0.5,600,2,0,27,H,386,,,,
0330-7,Ru0.5Au0.5,196.96657,,,RuCl3,0.3375,AuHCl4,0.3375,,,,,1,0,CH3CHCH2O,0.5,600,2,0,0330-7,C,188,6.0752928,1.2654761,1.2661762,2.556169776
0330-8,Ru0.5Sb0.5,121.76,,,RuCl3,0.3375,SbCl3,0.3375,,,,,1,0,CH3CHCH2O,0.5,600,2,0,28,H,N,,,,
0403-1,Ru0.5Mn0.5,54.938,,,RuCl3,0.3375,Mn(NO3)2,0.3375,,,,,1,0,CH3CHCH2O,0.5,,,0,,N,,,,,
0403-2,Ru0.5Bi0.5,208.98,,,RuCl3,0.3375,BiCl3,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,29,H,191,0.552181656,1.2711093,1.2698382,
0403-3,Ru0.5Re0.5,186.207,,,RuCl3,0.3375,ReCl5,0.3375,,,,,1,0,CH3CHCH2O,0.5,,,0,,N,,,,,
0403-4,Ru0.5Rh0.5,102.9055,,,RuCl3,0.3375,RhCl3,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,30,C,405,0.118251602,1.6006906,1.6006906,0.110794371
